longitude,latitude,temp_seasonality,temp_annual_range,precip_driest_quarter,max_temp_warmest_month,annual_precipitation,precip_coldest_quarter,isothermality,elevation,sand_frac_pct,gravel_frac_pct
-69.66654179487115,-10.900951794568105,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,301,37.25,0.0
-69.66630820952349,-10.896595616821203,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,304,37.25,0.0
-69.6660747232026,-10.892239433039244,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,304,37.25,0.0
-69.6626753614806,-10.914245995900464,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,301,37.25,0.0
-69.6624415406359,-10.909889744059225,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,301,37.25,0.0
-69.66220781881276,-10.905533486177674,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,301,37.25,0.0
-69.66197419600431,-10.901177222258395,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,301,37.25,0.0
-69.66174067220369,-10.896820952303957,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,304,37.25,0.0
-69.66150724740405,-10.892464676316925,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,304,37.25,0.0
-69.65810757120725,-10.914471643690138,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,300,37.25,0.0
-69.65787381199252,-10.9101152996569,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,300,37.25,0.0
-69.65624026898615,-10.879620722508864,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,303,37.25,0.0
-69.65600730154534,-10.875264330244926,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,303,37.25,0.0
-69.65353977432476,-10.914697234934092,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,300,37.25,0.0
-69.65330607674551,-10.91034079873182,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,300,37.25,0.0
-69.65167296446462,-10.87984557646972,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,303,37.25,0.0
